pdb,subcat,detail
5ewb,free,
5ezf,metal,ca
5f26,free,
5f9i,free,
5fhj,metal,co
5fhl,free,
5gsk,metal,hg sr
5hix,ligand,k
5ihd,ligand,cu ca
5j0e,metal,zn
5jeu,ligand,ba
5jev,ligand,ba
5ju4,metal,mg
5jvw,ligand,zn na
5jw0,ligand,zn
5jzq,metal,mg
5t3l,ligand,
5wsp,metal,sr
5wsq,metal,hg
5wsr,metal,hg
5wss,metal,hg ba
6bna,ligand,
7bna,ligand,
8bna,ligand,mg
9bna,free,
9dna,free,
